JJ:
	0: 46
	1: 46
	2: 12
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

WP:
	0: 129
	1: 3
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

IN:
	0: 50
	1: 42
	2: 26
	3: 9
	4: 4
	5: 1
	6: 0
	7: 0
	8: 0
	9: 0

$:
	0: 132
	1: 0
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

'':
	0: 125
	1: 5
	2: 2
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

EX:
	0: 130
	1: 2
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

POS:
	0: 125
	1: 7
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

VBG:
	0: 101
	1: 28
	2: 3
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

VBD:
	0: 102
	1: 21
	2: 7
	3: 2
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

-LRB-:
	0: 125
	1: 7
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

.:
	0: 122
	1: 4
	2: 4
	3: 0
	4: 2
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

,:
	0: 132
	1: 0
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

UH:
	0: 128
	1: 4
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

PRP$:
	0: 97
	1: 31
	2: 4
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

NNS:
	0: 84
	1: 39
	2: 7
	3: 2
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

CC:
	0: 101
	1: 27
	2: 4
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

CD:
	0: 109
	1: 19
	2: 3
	3: 0
	4: 1
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

NNP:
	0: 53
	1: 26
	2: 24
	3: 14
	4: 7
	5: 2
	6: 2
	7: 1
	8: 1
	9: 0
	10: 0
	11: 0
	12: 1
	13: 1
	14: 0

::
	0: 101
	1: 28
	2: 2
	3: 1
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

WRB:
	0: 127
	1: 5
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0


